Depl,Token,Inconsistent transaction amount
0x3FDA67f7583380E67ef93072294a7fAc882FD7E7,0xE41d2489571d322189246DaFA5ebDe1F4699F498,1149
0x3FDA67f7583380E67ef93072294a7fAc882FD7E7,0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359,10201
0x3FDA67f7583380E67ef93072294a7fAc882FD7E7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,4135
0x3FDA67f7583380E67ef93072294a7fAc882FD7E7,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,1664
0x3FDA67f7583380E67ef93072294a7fAc882FD7E7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,31
0x3FDA67f7583380E67ef93072294a7fAc882FD7E7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,481
0x3FDA67f7583380E67ef93072294a7fAc882FD7E7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1
0x3FDA67f7583380E67ef93072294a7fAc882FD7E7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,162
0x3FDA67f7583380E67ef93072294a7fAc882FD7E7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
0x3FDA67f7583380E67ef93072294a7fAc882FD7E7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1
0x3FDA67f7583380E67ef93072294a7fAc882FD7E7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,4
0x3FDA67f7583380E67ef93072294a7fAc882FD7E7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,135
0x0eEe3E3828A45f7601D5F54bF49bB01d1A9dF5ea,0xeb269732ab75A6fD61Ea60b06fE994cD32a83549,618
0x0eEe3E3828A45f7601D5F54bF49bB01d1A9dF5ea,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,542
0x0eEe3E3828A45f7601D5F54bF49bB01d1A9dF5ea,0xdAC17F958D2ee523a2206206994597C13D831ec7,3058
0x0eEe3E3828A45f7601D5F54bF49bB01d1A9dF5ea,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,43
0x0eEe3E3828A45f7601D5F54bF49bB01d1A9dF5ea,0x06AF07097C9Eeb7fD685c692751D5C66dB49c215,62
0x0eEe3E3828A45f7601D5F54bF49bB01d1A9dF5ea,0xdF574c24545E5FfEcb9a659c229253D4111d87e1,18
0xEDA3849869FD560B49daB8C110bE3a020F46c79E,0x3A9E75AFcFFcD89613037989EA0ED6cEc44a4353,69
0xEDA3849869FD560B49daB8C110bE3a020F46c79E,0xa2C7088b08833a00dB49A0d564b5e1463A4B49cB,3
0xEDA3849869FD560B49daB8C110bE3a020F46c79E,0x06A1cd567e61b7Edda49c30D3D32e60F607fD646,4
0xbD8E0DEF19AAbbc3751B0b5EE0558cADffcE759B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1
0xbD8E0DEF19AAbbc3751B0b5EE0558cADffcE759B,0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359,3
