Depl,Token,Inconsistent transaction amount
0x2a0c0DBEcC7E4D658f48E01e3fA353F44050c208,0x7703C35CfFdC5CDa8D27aa3df2F9ba6964544b6e,538
0x1cE7AE555139c5EF5A57CC8d814a867ee6Ee33D8,0x14409B0Fc5C7f87b5DAd20754fE22d29A3dE8217,93
0x1cE7AE555139c5EF5A57CC8d814a867ee6Ee33D8,0xe0c6CE3e73029F201e5C0Bedb97F67572A93711C,577
0x1cE7AE555139c5EF5A57CC8d814a867ee6Ee33D8,0x4ceE978c126c43522765dE9ed02D9373C72AC290,34
0x1cE7AE555139c5EF5A57CC8d814a867ee6Ee33D8,0xC85BD82bAAb231b31BDfe6cF3d92020D1408863A,14
0x1cE7AE555139c5EF5A57CC8d814a867ee6Ee33D8,0x6f8a577ff490a86B1b798807bb82B961BAccC837,1
0x1cE7AE555139c5EF5A57CC8d814a867ee6Ee33D8,0x7C1056ac0F7D223C4297e0c683453EE625011B1f,14
0xc3C12A9E63E466a3ba99E07f3EF1F38b8B81AE1B,0xCF8335727B776d190f9D15a54E6B9B9348439eEE,197
0xc3C12A9E63E466a3ba99E07f3EF1F38b8B81AE1B,0xdd85F02e149f26DBD3678227Ebdc355445D0eAf6,4
0xc3C12A9E63E466a3ba99E07f3EF1F38b8B81AE1B,0x26946adA5eCb57f3A1F91605050Ce45c482C9Eb1,6
0x3c020e014069df790d4f4e63fd297BA4e1c8e51F,0xE6279E1c65DD41b30bA3760DCaC3CD8bbb4420D6,10
0x3c020e014069df790d4f4e63fd297BA4e1c8e51F,0xE17f017475a709De58E976081eB916081ff4c9d5,8
0x3c020e014069df790d4f4e63fd297BA4e1c8e51F,0xf911a7ec46a2c6fa49193212fe4a2a9B95851c27,2
0x3c020e014069df790d4f4e63fd297BA4e1c8e51F,0x10Bae51262490B4f4AF41e12eD52A0E744c1137A,4
0x3c020e014069df790d4f4e63fd297BA4e1c8e51F,0x82866b4A71BA9d930Fe338C386B6A45a7133eb36,1
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x26946adA5eCb57f3A1F91605050Ce45c482C9Eb1,174
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x931A7ca74e35f35a46881A4f968d5fBD095a0279,62
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x3e65E1eeFdE5Ea7ccfC9a9a1634AbE90f32262f8,97
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x0ED8343dfdEE32E38b4c4cE15a3b00A59E90F3dB,238
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0xB8796542765747ed7F921FF12faff057b5D624D7,293
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x125F9d5daa039bDB79D36bAff667e9E0bbcEA998,64
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0xD54E2E7281De8E7D220F9173e33241fbFa881968,66
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x973b569b1d025C41cD9c19cbf8f931175e874DD0,19
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0xe343245DE92181bc06ba5Cd1152C705A2C5F3E2F,6
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0xE6397cFc0C47C8f7652068E4E40C37C59e46F339,1
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0xF49C17470eCC377A59De71EaB8dcB5e78B5cB670,16
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x69b6AB6866bCeBECa2A1AFB203D210BaC57D6267,18
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x5d7F6540b8d592E81deF42904C853a6DD01bD486,1
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0xF0FAC7104aAC544e4a7CE1A55ADF2B5a25c65bD1,1
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x60e7f0518102A4E70431960F88c1EBC98f994159,1
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x4599836c212CD988EAccc54C820Ee9261cdaAC71,5
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x4eC2eFb9cBd374786A03261E46ffce1a67756f3B,3
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0xE5D3CBEe3C4dAcf69f7B35e0d1C5170fc92F3843,49
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x747c276c9a714C79A6b9B9eA1A995888cc9e35E4,13
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0xe0c6CE3e73029F201e5C0Bedb97F67572A93711C,49
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0xE814aeE960a85208C3dB542C53E7D4a6C8D5f60F,208
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0xE17f017475a709De58E976081eB916081ff4c9d5,2
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x1788430620960F9a70e3DC14202a3A35ddE1A316,2
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0xCcFf20dC60f1b34D9e8bE09591d00F0f775596FD,3
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x187D1018E8ef879BE4194d6eD7590987463eAD85,88
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x309013d55fB0E8C17363bcC79F25d92f711A5802,1
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x18ee7C2E58c034F2bB102F123851C0FC5B80AC44,1
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x88093840AaD42d2621e1a452BF5d7076fF804D61,1
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x8377ee6d3545Bc6ff1425ee3015DC648B149C7B2,234
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0x03fB52D4eE633ab0D06C833E32EFdd8D388f3E6a,36
0x7ee7Ca6E75dE79e618e88bDf80d0B1DB136b22D0,0x1C95b093d6C236d3EF7c796fE33f9CC6b8606714,388
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,0xA52360d0e1290023100D0787623faA0b1784E7ff,12
