Depl,Token,Inconsistent transaction amount
0x2A0077eD1dF4BE3963b60191011c76DFE0dD4D9b,0xe7b430D1a792357a965E5C4A67c5ECEb72681EE8,1
0x055ac8b974F075B86fB963e940407168E677585A,0xdAC17F958D2ee523a2206206994597C13D831ec7,1
0x249CAccaE4b8A4BC9E0F8e468d7Cc9EbFc7e0811,0xdAC17F958D2ee523a2206206994597C13D831ec7,4
0x249CAccaE4b8A4BC9E0F8e468d7Cc9EbFc7e0811,0xfbED4D75Aa2D5615cE8ca6911F7D9fC12B7a1b48,1
0xBDFBa805cC6482070485dfDe1F9D6508F7709C35,0xB8742486C723793Cf5162bb5D3425ED9cD73D049,39
0xBDFBa805cC6482070485dfDe1F9D6508F7709C35,0xf230b790E05390FC8295F4d3F60332c93BEd42e2,2
0xBDFBa805cC6482070485dfDe1F9D6508F7709C35,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,1
0xBDFBa805cC6482070485dfDe1F9D6508F7709C35,0xd4fa1460F537bb9085d22C7bcCB5DD450Ef28e3a,1
0xBDFBa805cC6482070485dfDe1F9D6508F7709C35,0x45245bc59219eeaAF6cD3f382e078A461FF9De7B,3
0xBDFBa805cC6482070485dfDe1F9D6508F7709C35,0x9F5F3CFD7a32700C93F971637407ff17b91c7342,2
0xBDFBa805cC6482070485dfDe1F9D6508F7709C35,0x86Fa049857E0209aa7D9e616F7eb3b3B78ECfdb0,2
0xBDFBa805cC6482070485dfDe1F9D6508F7709C35,0x9B11EFcAAA1890f6eE52C6bB7CF8153aC5d74139,2
0xBDFBa805cC6482070485dfDe1F9D6508F7709C35,0x994f0DffdbaE0BbF09b652D6f11A493fd33F42B9,3
0xBDFBa805cC6482070485dfDe1F9D6508F7709C35,0x39013F961c378f02C2b82A6E1d31E9812786FD9D,2
0xBDFBa805cC6482070485dfDe1F9D6508F7709C35,0xAE66d00496Aaa25418f829140BB259163c06986E,2
0xBDFBa805cC6482070485dfDe1F9D6508F7709C35,0x6576963107077CCE5Ec879978C03eC6bB300Cc89,1
0xBDFBa805cC6482070485dfDe1F9D6508F7709C35,0xf2EAb3A2034D3f6B63734D2E08262040E3fF7B48,1
